id,ВАСИЛ ТЕРЗИЕВ ПП/ДБ/СС,ВАНЯ ГРИГОРОВА БСП/АТАКА/други,не подкрепям никого,total,eligible_voters,активност
224610073,0.5577889447236181,0.4020100502512563,0.04020100502512563,199.0,556.0,0.3579136690647482
224610074,0.5882352941176471,0.375,0.03676470588235294,272.0,689.0,0.39477503628447025
224610088,0.7003610108303249,0.27075812274368233,0.02888086642599278,277.0,713.0,0.3884992987377279
224610089,0.5658914728682171,0.4186046511627907,0.015503875968992248,129.0,451.0,0.2860310421286031
224610090,0.5694444444444444,0.37962962962962965,0.05092592592592592,216.0,522.0,0.41379310344827586
224610091,0.7304347826086957,0.23478260869565218,0.034782608695652174,345.0,844.0,0.4087677725118483
224610092,0.7358490566037735,0.22169811320754718,0.04245283018867924,212.0,523.0,0.40535372848948376
224609023,0.5842293906810035,0.3942652329749104,0.021505376344086023,279.0,649.0,0.42989214175654855
224609024,0.5424354243542435,0.4095940959409594,0.04797047970479705,271.0,635.0,0.4267716535433071
224609025,0.5198412698412699,0.4603174603174603,0.01984126984126984,252.0,577.0,0.43674176776429807
224609033,0.6120218579234973,0.3224043715846995,0.06557377049180328,183.0,438.0,0.4178082191780822
224609034,0.5992063492063492,0.36904761904761907,0.031746031746031744,252.0,643.0,0.39191290824261277
224609039,0.7106598984771574,0.2436548223350254,0.04568527918781726,197.0,548.0,0.3594890510948905
224609040,0.5783132530120482,0.3895582329317269,0.0321285140562249,249.0,590.0,0.42203389830508475
224609043,0.5339805825242718,0.41262135922330095,0.05339805825242718,206.0,472.0,0.4364406779661017
224609078,0.5190476190476191,0.4380952380952381,0.04285714285714286,210.0,484.0,0.43388429752066116
224611030,0.41530054644808745,0.5519125683060109,0.03278688524590164,183.0,531.0,0.3446327683615819
224611031,0.34574468085106386,0.5957446808510638,0.05851063829787234,188.0,644.0,0.2919254658385093
224611037,0.4155251141552511,0.54337899543379,0.0410958904109589,219.0,621.0,0.3526570048309179
224611038,0.48175182481751827,0.48905109489051096,0.029197080291970802,137.0,568.0,0.24119718309859156
224611039,0.3824884792626728,0.5622119815668203,0.055299539170506916,217.0,672.0,0.3229166666666667
224611040,0.44549763033175355,0.5260663507109005,0.02843601895734597,211.0,664.0,0.3177710843373494
224611043,0.3630952380952381,0.5833333333333334,0.05357142857142857,168.0,580.0,0.2896551724137931
224611046,0.46111111111111114,0.5111111111111111,0.027777777777777776,180.0,609.0,0.2955665024630542
224611047,0.386046511627907,0.5767441860465117,0.037209302325581395,215.0,622.0,0.34565916398713825
224611056,0.2571428571428571,0.5428571428571428,0.2,35.0,639.0,0.054773082942097026
224611057,0.20618556701030927,0.711340206185567,0.08247422680412371,97.0,784.0,0.12372448979591837
224611060,0.19230769230769232,0.7948717948717948,0.01282051282051282,78.0,957.0,0.08150470219435736
224611073,0.5238095238095238,0.38095238095238093,0.09523809523809523,21.0,478.0,0.043933054393305436
224606016,0.35909090909090907,0.5909090909090909,0.05,220.0,740.0,0.2972972972972973
224606017,0.44621513944223107,0.49800796812749004,0.055776892430278883,251.0,746.0,0.33646112600536193
224606018,0.44017094017094016,0.48717948717948717,0.07264957264957266,234.0,739.0,0.3166441136671177
224606019,0.4534412955465587,0.4898785425101215,0.05668016194331984,247.0,769.0,0.3211963589076723
224606058,0.3652173913043478,0.591304347826087,0.043478260869565216,230.0,802.0,0.286783042394015
224610053,0.5796344647519582,0.3968668407310705,0.02349869451697128,383.0,782.0,0.489769820971867
224610054,0.5520833333333334,0.4340277777777778,0.013888888888888888,288.0,695.0,0.4143884892086331
224610055,0.5051903114186851,0.44982698961937717,0.04498269896193772,289.0,733.0,0.3942701227830832
224610056,0.48013245033112584,0.49337748344370863,0.026490066225165563,302.0,787.0,0.38373570520965694
224610057,0.42388059701492536,0.5134328358208955,0.0626865671641791,335.0,844.0,0.39691943127962087
224610058,0.5175879396984925,0.4321608040201005,0.05025125628140704,199.0,625.0,0.3184
224610059,0.568904593639576,0.3957597173144876,0.0353356890459364,283.0,728.0,0.38873626373626374
224610060,0.5833333333333334,0.3888888888888889,0.027777777777777776,252.0,727.0,0.3466299862448418
224610061,0.5548387096774193,0.4129032258064516,0.03225806451612903,155.0,560.0,0.2767857142857143
224601004,0.677570093457944,0.2803738317757009,0.04205607476635514,214.0,631.0,0.33914421553090335
224601005,0.6934865900383141,0.26053639846743293,0.04597701149425287,261.0,706.0,0.3696883852691218
