секция,населено место,гласове април,гласове юли,спад %,ГЕРБ-СДС април,ГЕРБ-СДС юли,ГЕРБ-СДС спад %,ДПС април,ДПС юли,ДПС спад %,БСП април,БСП юли,БСП спад %,ИТН април,ИТН юли,ИТН спад %,МУТРИ ВЪН! април,МУТРИ ВЪН! юли,МУТРИ ВЪН! спад %,ДБ април,ДБ юли,ДБ спад %
212000175,с.Тополчане,290.0,157.0,45.86206896551724,132.0,32.0,75.75757575757575,44.0,12.0,72.72727272727273,36.0,29.0,19.444444444444446,28.0,55.0,-96.42857142857143,17.0,1.0,94.11764705882352,7.0,7.0,0.0
212000176,с.Тополчане,331.0,238.0,28.09667673716012,127.0,91.0,28.346456692913385,21.0,3.0,85.71428571428571,62.0,23.0,62.903225806451616,51.0,54.0,-5.88235294117647,22.0,13.0,40.909090909090914,4.0,9.0,-125.0
Общо,,922.0,476.0,48.37310195227766,400.0,139.0,65.25,185.0,34.0,81.62162162162161,118.0,66.0,44.06779661016949,84.0,115.0,-36.904761904761905,42.0,19.0,54.761904761904766,13.0,21.0,-61.53846153846154
272200011,с.Зимница,422.0,218.0,48.34123222748815,181.0,125.0,30.939226519337016,141.0,19.0,86.52482269503547,32.0,15.0,53.125,30.0,22.0,26.666666666666668,9.0,10.0,-11.11111111111111,1.0,5.0,-400.0
Общо,,422.0,218.0,48.34123222748815,181.0,125.0,30.939226519337016,141.0,19.0,86.52482269503547,32.0,15.0,53.125,30.0,22.0,26.666666666666668,9.0,10.0,-11.11111111111111,1.0,5.0,-400.0
031300022,с.Детелина,298.0,154.0,48.322147651006716,88.0,64.0,27.27272727272727,152.0,37.0,75.6578947368421,22.0,16.0,27.27272727272727,9.0,20.0,-122.22222222222223,5.0,6.0,-20.0,3.0,2.0,33.33333333333333
Общо,,298.0,154.0,48.322147651006716,88.0,64.0,27.27272727272727,152.0,37.0,75.6578947368421,22.0,16.0,27.27272727272727,9.0,20.0,-122.22222222222223,5.0,6.0,-20.0,3.0,2.0,33.33333333333333
212000127,с.Сотиря,221.0,156.0,29.411764705882355,89.0,32.0,64.04494382022472,8.0,2.0,75.0,39.0,32.0,17.94871794871795,35.0,58.0,-65.71428571428571,4.0,5.0,-25.0,9.0,9.0,0.0
212000128,с.Сотиря,138.0,30.0,78.26086956521739,96.0,12.0,87.5,10.0,1.0,90.0,13.0,4.0,69.23076923076923,5.0,8.0,-60.0,0.0,2.0,,0.0,0.0,
Общо,,359.0,186.0,48.18941504178273,185.0,44.0,76.21621621621621,18.0,3.0,83.33333333333334,52.0,36.0,30.76923076923077,40.0,66.0,-65.0,4.0,7.0,-75.0,9.0,9.0,0.0
170100068,с.Боянци,184.0,124.0,32.608695652173914,53.0,42.0,20.754716981132077,4.0,1.0,75.0,64.0,36.0,43.75,30.0,21.0,30.0,10.0,12.0,-20.0,1.0,6.0,-500.0
