id,ГЕРБ,БСП,ДПС,РЕФОРМАТОРСКИ БЛОК,ПФ (НФСБ-ВМРО),ББЦ,АТАКА,АБВ,Движение 21,Глас Народен,РЕПУБЛИКА БГ,ЗЕЛЕНИТЕ,Нова България,НОВА АЛТЕРНАТИВА,ОБЕДИНЕНА БЪЛГАРИЯ,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,НДСВ,ПАРТИЯ НА ЗЕЛЕНИТЕ,ДЕСНИТЕ,ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ,НОВА СИЛА,БНС-НД,СОЦИАЛДЕМ. ПАРТИЯ,ОБЩЕСТВО ЗА НОВА БГ,НОВОТО ВРЕМЕ,независими,не подкрепям никого,невалидни,total_valid,total,eligible_voters,n_stations
2292,12,7,55,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,3,79.0,82.0,249,1
2302,17,25,0,2,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0,0,0.0,0,0.0,0,3,55.0,58.0,87,1
2350,43,34,2,5,17,83,10,7,0,0,0,0,0,3,0,0,2,1,0,1,1.0,0,1,0.0,0,0.0,0,19,210.0,229.0,351,1
2364,42,68,13,5,21,8,6,10,0,1,4,2,0,1,0,1,0,0,2,1,2.0,0,1,2.0,0,0.0,0,13,190.0,203.0,406,1
2381,52,9,1,2,13,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1.0,0,0.0,0,1,86.0,87.0,165,1
2395,53,130,0,3,3,1,3,6,0,0,0,0,2,2,0,0,0,1,0,0,0.0,0,0,0.0,0,0.0,0,12,204.0,216.0,345,1
2405,3,4,156,7,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0.0,0,14,174.0,188.0,387,1
2436,1,2,93,17,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1,0,0.0,0,0.0,0,11,116.0,127.0,331,1
2448,38,25,2,5,15,5,3,4,1,0,0,0,0,0,0,0,1,0,1,0,0.0,0,0,0.0,0,0.0,0,10,100.0,110.0,186,1
2467,24,34,0,1,6,3,15,1,0,0,0,1,0,2,0,1,0,0,1,0,0.0,1,0,1.0,0,0.0,0,1,91.0,92.0,161,1
2470,21,20,9,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0,0.0,0,8,58.0,66.0,109,1
2484,7,11,2,2,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,3,36.0,39.0,64,1
2508,1168,719,650,243,472,639,235,271,56,31,14,15,13,14,20,14,9,4,9,12,9.0,11,6,9.0,6,0.0,0,254,4649.0,4903.0,11296,16
2511,162,36,0,20,10,40,28,11,7,2,0,0,2,0,0,1,0,0,0,0,1.0,0,4,0.0,0,0.0,0,19,324.0,343.0,572,1
2542,11,7,2,2,0,2,7,2,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0,2,0.0,0,0.0,0,1,37.0,38.0,50,1
2587,61,42,63,17,22,13,10,30,0,1,0,1,1,0,0,2,0,0,0,0,0.0,1,0,0.0,0,0.0,0,43,264.0,307.0,1018,1
2590,40,117,133,15,18,25,46,15,0,2,2,2,0,1,1,2,2,1,0,0,0.0,0,0,0.0,0,0.0,0,28,422.0,450.0,994,2
2600,93,70,0,15,17,19,11,7,1,0,0,1,0,1,0,0,0,0,0,0,0.0,1,0,0.0,0,4.0,0,16,240.0,256.0,525,1
