id,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС-Пеев,БСП,ИТН,ДПС-Доган,МЕЧ,ВЕЛИЧИЕ,не подкрепям никого,СИНЯ БЪЛГАРИЯ,БВ,РУСОФИЛИ ЗА БГ,ПРЯКА ДЕМОКРАЦИЯ,ГЛАС НАРОДЕН,"РБ, ССД и ЗС",ЗЕЛЕНИТЕ,АТАКА,МОЯ СТРАНА БЪЛГАРИЯ,НП ИСИ,ПРАВОТО,БНС-НД,Чавдар Попов (нез.),КОЙ,ДОСТ,Булгари,БСДД,СПБП,БТР,БРИГАДА,невалидни,total_valid,total,eligible_voters,n_stations
44094,98.0,13.0,23.0,84.0,13.0,9.0,0.0,3.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,259.0,265.0,476,1
44104,26.0,3.0,5.0,54.0,1.0,3.0,98.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,196.0,210.0,650,1
44118,18.0,5.0,7.0,77.0,79.0,1.0,0.0,6.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,198.0,210.0,436,1
44121,6.0,3.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.0,20.0,48,1
44152,14.0,6.0,18.0,4.0,23.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,73.0,75.0,140,1
44166,134.0,110.0,68.0,49.0,50.0,35.0,256.0,22.0,17.0,30.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,21,787.0,808.0,2146,5
44183,52.0,17.0,26.0,20.0,36.0,11.0,4.0,15.0,8.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,202.0,204.0,686,1
44224,75.0,25.0,57.0,0.0,28.0,18.0,1.0,12.0,11.0,13.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,250.0,258.0,537,1
44238,1172.0,469.0,772.0,2110.0,422.0,311.0,4.0,321.0,126.0,132.0,77.0,21.0,24.0,11.0,17.0,2.0,8.0,6.0,12.0,8.0,7.0,1.0,0.0,4.0,2.0,4.0,2.0,0.0,1.0,2.0,181,6048.0,6229.0,19420,40
44241,25.0,4.0,9.0,31.0,17.0,4.0,6.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,104.0,108.0,208,1
44269,7.0,1.0,3.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,21.0,23.0,36,1
44272,30.0,1.0,4.0,80.0,3.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,128.0,135.0,307,1
44286,17.0,8.0,7.0,12.0,42.0,3.0,18.0,7.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,123.0,133.0,690,1
44294,40.0,5.0,2.0,65.0,3.0,3.0,166.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,293.0,302.0,988,2
