id,БСП,ГЕРБ-СДС,ВЪЗР,ИТН,НП ИСИ,АТАКА (к.),БНО,ЗАЕДНО,БНС-НД,НДСВ,КОД,ПП/ДБ,ДПС,ЛЕВИЦАТА,БВ,МИР,ЕВРОЛЕВИЦА,БСДД,ГЛАС НАРОДЕН,СПБП,ВЪН ОТ ЕС,независими,не подкрепям никого,total,eligible_voters,активност
39565,0.044444444444444446,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.022222222222222223,0.8444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,45.0,267,0.16853932584269662
39579,0.18238993710691823,0.3081761006289308,0.14465408805031446,0.018867924528301886,0.012578616352201259,0.0,0.0,0.0,0.0,0.0,0.0,0.27044025157232704,0.006289308176100629,0.012578616352201259,0.025157232704402517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,159.0,551,0.2885662431941924
39582,0.20689655172413793,0.10344827586206896,0.1724137931034483,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.1724137931034483,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,29.0,61,0.47540983606557374
39596,0.38,0.17,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,220,0.45454545454545453
39614,0.1891891891891892,0.40540540540540543,0.05405405405405406,0.02702702702702703,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.24324324324324326,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,74.0,128,0.578125
39623,0.04081632653061224,0.061224489795918366,0.12244897959183673,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7346938775510204,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,107,0.45794392523364486
39637,0.10526315789473684,0.15789473684210525,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,19.0,38,0.5
39640,0.4166666666666667,0.2222222222222222,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,42,0.8571428571428571
39668,0.06666666666666667,0.2160919540229885,0.08275862068965517,0.04367816091954023,0.004597701149425287,0.0,0.0022988505747126436,0.0,0.0,0.0,0.0,0.12413793103448276,0.38850574712643676,0.011494252873563218,0.016091954022988506,0.0,0.0022988505747126436,0.0,0.0022988505747126436,0.0,0.0,0.0,0.03908045977011494,435.0,1221,0.35626535626535627
39671,0.01639344262295082,0.056466302367941715,0.00546448087431694,0.0,0.0,0.0,0.0,0.0018214936247723133,0.0,0.0,0.0,0.020036429872495445,0.8816029143897997,0.0036429872495446266,0.0018214936247723133,0.0,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.01092896174863388,549.0,1160,0.4732758620689655
