municipality_name,ГЕРБ-СДС,ИТН,БСП,ДПС,ДБ,МУТРИ ВЪН!,ВМРО,БНО,невалидни,ВЪЗР,ВОЛЯ И НФСБ,не подкрепям никого,РЕПУБЛИКАНЦИ ЗА БГ,ДНК,АТАКА,АБВ,ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,КОД,ГЛАС НАРОДЕН,Партия на ЗЕЛЕНИТЕ,"НИЕ, ГРАЖДАНИТЕ ",БПЛ,МИР,ЗАЕДНО,ОБЩЕСТВО,ПРЯКА ДЕМОКРАЦИЯ,БСДД,БНС,Граждани от Протеста,ПРАВОТО,БОГ,НАЦИЯ,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Вършец,1110,488,655,495,117,137,47,73,99,55,91,31,108,10,15,11,17,5,10,3,2,9,3,0,2,2,4,3,1,1,1,0,0.0,6469,12,12. МОНТАНА,18,3605.0,0.5572731488638121,MON12
Габрово,9470,5084,3743,467,1711,1698,799,721,637,713,893,505,306,200,133,80,108,128,73,72,41,15,16,38,55,31,37,27,15,17,19,3,0.0,56470,7,07. ГАБРОВО,116,27855.0,0.49327076323711705,GAB05
Генерал Тошево,1198,938,1647,284,145,195,144,125,209,109,209,71,148,23,63,16,12,7,16,4,7,7,1,4,3,5,4,1,2,4,11,0,0.0,13080,8,08. ДОБРИЧ,47,5612.0,0.4290519877675841,DOB12
Георги Дамяново,611,121,237,112,30,43,22,19,41,10,33,12,78,6,14,1,2,1,1,4,1,3,0,0,2,1,5,1,1,1,1,0,0.0,1990,12,12. МОНТАНА,14,1414.0,0.7105527638190955,MON14
Главиница,1020,241,349,3250,34,70,108,33,170,40,50,37,13,10,14,8,5,12,11,4,1,4,3,3,1,1,3,1,1,0,1,0,0.0,11012,20,20. СИЛИСТРА,25,5498.0,0.4992735197965855,SLS07
Годеч,759,439,373,19,87,99,115,84,64,44,26,41,12,63,18,3,11,5,3,3,4,5,0,2,3,5,3,2,0,0,1,1,0.0,4400,26,26. СОФИЯ област,13,2294.0,0.5213636363636364,SFO09
Горна Малина,633,522,544,4,115,123,264,79,85,43,35,47,24,10,12,11,10,3,3,4,6,7,7,5,3,4,5,7,1,0,1,0,0.0,4326,26,26. СОФИЯ област,15,2617.0,0.6049468331021729,SFO10
Горна Оряховица,4521,3978,4306,821,1088,874,713,470,392,417,429,281,170,115,95,57,48,19,75,36,18,14,51,68,16,17,13,13,6,9,9,7,0.0,40394,4,04. ВЕЛИКО ТЪРНОВО,69,19146.0,0.47398128434916076,VTR06
Гоце Делчев,4536,1514,2976,2992,552,316,346,367,394,229,241,159,111,63,54,22,15,16,14,9,12,9,2,11,5,7,9,8,6,9,2,1,35.0,28353,1,01. БЛАГОЕВГРАД,45,15042.0,0.5305258702782775,BLG11
Грамада,195,110,236,40,108,20,21,8,52,5,20,7,30,6,13,2,2,1,2,0,1,6,0,0,2,0,0,0,0,1,0,1,0.0,1444,5,05. ВИДИН,9,889.0,0.6156509695290858,VID15
Гулянци,909,850,1011,30,102,174,317,48,144,46,50,44,381,20,28,10,15,3,2,5,9,4,1,3,4,6,4,5,3,6,2,0,0.0,9883,15,15. ПЛЕВЕН,21,4236.0,0.4286147930790246,PVN08
Гурково,168,326,354,1515,44,33,39,32,119,48,33,18,54,12,3,12,10,5,8,3,4,2,2,2,3,2,0,2,1,1,1,0,0.0,4760,27,27. СТАРА ЗАГОРА,12,2856.0,0.6,SZR37
Гълъбово,897,828,959,1663,143,242,74,130,243,110,133,72,136,19,45,16,28,6,11,3,6,16,5,10,3,3,3,8,4,4,4,5,0.0,10253,27,27. СТАРА ЗАГОРА,24,5829.0,0.5685165317468058,SZR07
Гърмен,2312,413,438,3878,154,78,116,70,156,24,46,47,147,17,11,14,15,10,3,3,4,4,5,7,4,1,7,2,2,3,2,2,10.0,12683,1,01. БЛАГОЕВГРАД,23,8005.0,0.6311598202318064,BLG13
Две могили,578,452,580,737,63,119,134,35,112,51,64,41,19,10,24,28,8,6,4,3,4,4,0,4,4,7,1,2,0,0,2,1,0.0,7847,19,19. РУСЕ,15,3097.0,0.3946731234866828,RSE08
Девин,1727,760,786,1090,99,133,32,59,176,41,206,57,497,23,13,7,42,5,4,26,4,1,0,4,12,6,3,3,0,2,10,0,0.0,10809,22,22. СМОЛЯН,26,5828.0,0.5391803127023777,SML09
Девня,2028,525,354,86,63,115,313,60,174,39,75,38,101,15,12,9,4,2,3,5,9,17,3,2,1,2,6,7,3,2,0,3,0.0,7753,3,03. ВАРНА,12,4076.0,0.5257319747194634,VAR14
Джебел,760,118,208,3899,41,16,1,16,166,8,24,17,32,2,0,9,5,8,3,1,1,2,2,1,1,0,3,0,0,0,0,0,0.0,23058,9,09. КЪРДЖАЛИ,45,5344.0,0.23176337930436292,KRZ08
Димитровград,8204,4052,3788,573,1394,1039,262,564,685,894,383,292,310,117,110,41,97,50,28,35,89,22,14,10,31,14,46,28,15,17,18,3,0.0,46252,29,29. ХАСКОВО,93,23225.0,0.5021404479806278,HKV09
Димово,778,219,352,1104,37,39,75,27,117,17,31,26,60,11,14,5,3,6,1,0,2,2,0,1,4,2,0,1,2,0,2,1,0.0,4982,5,05. ВИДИН,27,2939.0,0.5899237254114813,VID16
Добрич,9076,7252,6226,936,2664,2010,1500,1035,806,1114,1311,498,499,220,151,143,218,78,127,47,63,25,48,28,32,47,39,29,35,27,19,3,0.0,82937,8,08. ДОБРИЧ,132,36306.0,0.43775395782340815,DOB28
Добрич-селска,1661,770,2427,1638,158,202,118,103,295,133,293,40,263,20,36,21,23,14,13,13,10,8,1,10,9,11,8,8,11,3,9,1,0.0,20990,8,08. ДОБРИЧ,68,8330.0,0.39685564554549785,DOB15
Долна Митрополия,1876,1799,1495,165,142,253,374,109,308,94,206,60,218,33,42,16,30,4,14,5,6,3,3,6,16,2,12,11,4,4,1,1,0.0,16175,15,15. ПЛЕВЕН,35,7312.0,0.45205564142194743,PVN10
Долна баня,1661,302,257,3,51,67,21,39,104,26,13,32,44,14,11,5,3,1,2,9,4,1,2,1,5,1,9,3,5,2,2,0,0.0,3834,26,26. СОФИЯ област,8,2700.0,0.704225352112676,SFO59
Долни Дъбник,954,828,1026,332,108,155,220,73,206,53,83,49,136,20,23,13,9,3,12,3,10,7,26,4,7,7,8,2,0,4,2,2,0.0,11725,15,15. ПЛЕВЕН,21,4385.0,0.3739872068230277,PVN11
Долни чифлик,3559,704,941,1099,82,211,353,79,337,112,133,40,19,14,31,8,16,11,15,37,2,6,9,1,7,6,11,3,2,3,2,3,0.0,15891,3,03. ВАРНА,30,7856.0,0.49436788119061104,VAR13
Доспат,2530,487,363,286,43,65,16,43,88,14,32,13,448,2,0,4,2,0,1,1,3,3,0,3,5,2,5,2,0,0,0,0,0.0,7665,22,22. СМОЛЯН,13,4461.0,0.5819960861056751,SML10
