id,ДПС,БСДД,БНО,НДЕ,ВМРО,КСБ,ПД,НФСБ,ПП,МИР,КОД,БТР,КТБ,ВЪЗР,БВ,БНС,ИЗПРАВИ СЕ,ДНК,ИТН,ГЛАС НАРОДЕН,ПРАВОТО,НП ИСИ,ГЕРБ-СДС,ДБ,ЕВРОЛЕВИЦА,АТАКА,БСП,РВО,независим,npn,total,eligible_voters,activity
49000,0.021052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.1368421052631579,0.010526315789473684,0.0,0.0,0.0,0.10526315789473684,0.042105263157894736,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.5052631578947369,0.010526315789473684,0.010526315789473684,0.031578947368421054,0.10526315789473684,0.0,0.0,0.0,95.0,134.0,0.7089552238805971
49014,0.005747126436781609,0.0,0.0,0.0,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.0,0.27873563218390807,0.0028735632183908046,0.0,0.0,0.005747126436781609,0.11494252873563218,0.0603448275862069,0.0,0.014367816091954023,0.014367816091954023,0.031609195402298854,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.23275862068965517,0.05459770114942529,0.0028735632183908046,0.0,0.07758620689655173,0.005747126436781609,0.0,0.08045977011494253,348.0,958.0,0.36325678496868474
49028,0.015625,0.005208333333333333,0.0,0.0,0.0,0.005208333333333333,0.015625,0.010416666666666666,0.13541666666666666,0.0,0.0,0.0,0.0,0.11979166666666667,0.010416666666666666,0.0,0.005208333333333333,0.005208333333333333,0.041666666666666664,0.005208333333333333,0.0,0.0,0.328125,0.046875,0.0,0.005208333333333333,0.18229166666666666,0.0,0.0,0.0625,192.0,785.0,0.2445859872611465
49031,0.036036036036036036,0.0045045045045045045,0.0,0.009009009009009009,0.018018018018018018,0.0,0.0,0.0,0.06306306306306306,0.0,0.0045045045045045045,0.0045045045045045045,0.0,0.07207207207207207,0.013513513513513514,0.0,0.0045045045045045045,0.009009009009009009,0.03153153153153153,0.0,0.0,0.0045045045045045045,0.5585585585585585,0.02252252252252252,0.0,0.0,0.0945945945945946,0.0045045045045045045,0.0,0.04504504504504504,222.0,552.0,0.40217391304347827
49045,0.6727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.01818181818181818,0.0,0.0,0.0,0.03636363636363636,0.01818181818181818,0.0,0.0,0.07272727272727272,0.0,0.0,0.05454545454545454,55.0,156.0,0.3525641025641026
49059,0.8061224489795918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030612244897959183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.030612244897959183,0.0,0.0,0.0,0.05102040816326531,0.0,0.0,0.0,0.05102040816326531,0.01020408163265306,0.0,0.01020408163265306,98.0,176.0,0.5568181818181818
49076,0.20701754385964913,0.0,0.0,0.0,0.0,0.0035087719298245615,0.0,0.03508771929824561,0.12982456140350876,0.0,0.007017543859649123,0.0,0.0,0.06315789473684211,0.02456140350877193,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.3017543859649123,0.02456140350877193,0.0035087719298245615,0.0035087719298245615,0.11929824561403508,0.0035087719298245615,0.0,0.021052631578947368,285.0,982.0,0.29022403258655805
49093,0.7692307692307693,0.009615384615384616,0.0,0.004807692307692308,0.0,0.004807692307692308,0.004807692307692308,0.0,0.04326923076923077,0.0,0.0,0.0,0.0,0.004807692307692308,0.004807692307692308,0.0,0.0,0.0,0.004807692307692308,0.0,0.004807692307692308,0.0,0.09134615384615384,0.028846153846153848,0.0,0.0,0.014423076923076924,0.0,0.0,0.009615384615384616,208.0,1396.0,0.1489971346704871
49103,0.9572649572649573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,117.0,661.0,0.17700453857791226
49117,0.016129032258064516,0.0,0.0,0.016129032258064516,0.016129032258064516,0.0,0.0,0.0,0.08064516129032258,0.016129032258064516,0.0,0.0,0.0,0.08064516129032258,0.04838709677419355,0.0,0.016129032258064516,0.0,0.016129032258064516,0.0,0.0,0.0,0.3387096774193548,0.03225806451612903,0.0,0.0,0.27419354838709675,0.0,0.0,0.04838709677419355,62.0,183.0,0.33879781420765026
