id,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,не подкрепям никого,МЕЧ,ВМРО БНД,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ЗЕЛЕНИТЕ,Кузман Илиев (нез.),ЛЕВИЦАТА!,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,ПРЯКА ДЕМОКРАЦИЯ,НИЕ ИДВАМЕ,НИЕ ГРАЖДАНИТЕ,ЕДИНЕНИЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,КОАЛИЦИЯ НА РОЗАТА,ОБЩЕСТВО ЗА НОВА БГ,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,НП ИСИ,БНО,БСДД,невалидни,total,eligible_voters,активност
81459,0.14,0.18,0.1,0.14,0.18,0.04,0.06,0.02,0.02,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,50.0,83,0.6024096385542169
81462,0.024844720496894408,0.8944099378881988,0.012422360248447204,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.012422360248447204,0.006211180124223602,0.0,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,161.0,461,0.3492407809110629
81476,0.31788079470198677,0.0,0.033112582781456956,0.13245033112582782,0.2847682119205298,0.09271523178807947,0.013245033112582781,0.0728476821192053,0.019867549668874173,0.006622516556291391,0.013245033112582781,0.0,0.0,0.0,0.0,0.0,0.013245033112582781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019867549668874173,151.0,283,0.5335689045936396
81493,0.13333333333333333,0.7555555555555555,0.022222222222222223,0.044444444444444446,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,45.0,98,0.45918367346938777
81503,0.7241379310344828,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,29.0,44,0.6590909090909091
81517,0.028846153846153848,0.9519230769230769,0.009615384615384616,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,197,0.5279187817258884
81520,0.16666666666666666,0.041666666666666664,0.125,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,48,0.5
81534,0.40476190476190477,0.011904761904761904,0.03571428571428571,0.15476190476190477,0.10714285714285714,0.05952380952380952,0.03571428571428571,0.023809523809523808,0.011904761904761904,0.023809523809523808,0.047619047619047616,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.011904761904761904,0.0,0.0,0.0,0.0,0.011904761904761904,84.0,294,0.2857142857142857
81551,0.26521739130434785,0.21304347826086956,0.043478260869565216,0.12173913043478261,0.09565217391304348,0.07391304347826087,0.030434782608695653,0.013043478260869565,0.017391304347826087,0.02608695652173913,0.004347826086956522,0.004347826086956522,0.008695652173913044,0.013043478260869565,0.008695652173913044,0.0,0.043478260869565216,0.0,0.0,0.004347826086956522,0.004347826086956522,0.0,0.0,0.0,0.0,0.004347826086956522,0.004347826086956522,0.0,0.0,0.0,0.0,0.0,0.017391304347826087,230.0,827,0.2781136638452237
81565,0.05420827389443652,0.8701854493580599,0.021398002853067047,0.007132667617689016,0.011412268188302425,0.0042796005706134095,0.0014265335235378032,0.012838801711840228,0.0,0.0,0.0014265335235378032,0.0,0.005706134094151213,0.0,0.0014265335235378032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014265335235378032,0.0,0.0014265335235378032,0.0014265335235378032,0.0028530670470756064,0.0014265335235378032,0.0,0.0,0.03566333808844508,701.0,1911,0.36682365253793825
81582,0.018518518518518517,0.7314814814814815,0.009259259259259259,0.041666666666666664,0.037037037037037035,0.032407407407407406,0.004629629629629629,0.013888888888888888,0.06018518518518518,0.004629629629629629,0.0,0.009259259259259259,0.0,0.009259259259259259,0.0,0.009259259259259259,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.0,0.0,0.0,0.0,0.004629629629629629,0.032407407407407406,216.0,491,0.439918533604888
81596,0.031914893617021274,0.8191489361702128,0.031914893617021274,0.06382978723404255,0.031914893617021274,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031914893617021274,94.0,213,0.4413145539906103
81619,0.039735099337748346,0.8079470198675497,0.0728476821192053,0.013245033112582781,0.006622516556291391,0.019867549668874173,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026490066225165563,0.0,0.0,0.0,0.0,0.0,0.08609271523178808,151.0,316,0.4778481012658228
81640,0.5136612021857924,0.34972677595628415,0.01092896174863388,0.00546448087431694,0.01092896174863388,0.01092896174863388,0.02185792349726776,0.00546448087431694,0.04371584699453552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00546448087431694,0.00546448087431694,0.00546448087431694,0.0,0.0,0.0,0.00546448087431694,0.0,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.04918032786885246,183.0,505,0.36237623762376237
81654,0.5555555555555556,0.0,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,19,0.47368421052631576
81709,0.6619718309859155,0.0,0.028169014084507043,0.08450704225352113,0.07042253521126761,0.08450704225352113,0.0,0.028169014084507043,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11267605633802817,71.0,93,0.7634408602150538
