municipality_name,ПП,ГЕРБ-СДС,ДПС,БСП,ИТН,ДБ,ВЪЗР,ИЗПРАВИ СЕ,не подкрепям никого,ВМРО,ЕВРОЛЕВИЦА,АТАКА,ОНБ,ГЛАС НАРОДЕН,невалидни,НОД,ПФ,ВОЛЯ,РВО,ПРАВОТО,БСДД,МИР,Партия на ЗЕЛЕНИТЕ,БНО,БОГ,БПЛ,ПД,БРИГАДА,БНС-НД,независими,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Добрич-селска,819,937,1530,1456,418,148,185,150,50.0,30,56,38,34,30,78.0,37,28,29,18,30,29,12,7,4,10,10,3,9,2,0,20239.0,8,08. ДОБРИЧ,68,6187.0,0.30569692178467317,DOB15
Долна Митрополия,854,1119,188,907,854,88,162,194,48.0,67,48,31,30,28,8.0,26,28,12,15,19,13,10,4,9,8,11,1,6,6,0,16002.0,15,15. ПЛЕВЕН,34,4794.0,0.2995875515560555,PVN10
Долна баня,227,997,18,114,149,36,59,28,34.0,12,29,15,22,22,7.0,17,12,16,11,9,16,6,4,5,2,3,3,3,3,0,3806.0,26,26. СОФИЯ област,8,1879.0,0.4936941671045717,SFO59
Долни Дъбник,511,589,246,682,342,57,86,152,37.0,56,35,14,16,19,0.0,19,21,7,16,14,20,6,4,7,5,6,2,1,3,0,11723.0,15,15. ПЛЕВЕН,21,2973.0,0.25360402627313827,PVN11
Долни чифлик,628,1314,403,492,436,63,175,84,34.0,36,45,19,21,20,19.0,19,21,35,10,16,20,6,3,8,3,10,3,4,2,0,15847.0,3,03. ВАРНА,31,3949.0,0.24919543131192023,VAR13
Доспат,446,1455,295,388,398,45,38,33,32.0,9,20,4,22,25,8.0,9,7,7,5,9,6,1,2,3,2,3,2,0,1,0,7579.0,22,22. СМОЛЯН,13,3275.0,0.4321150547565642,SML10
Драгоман,367,623,46,217,135,47,59,76,35.0,92,8,16,12,11,30.0,8,6,4,8,7,2,6,2,2,0,2,0,2,1,0,4122.0,26,26. СОФИЯ област,20,1824.0,0.44250363901018924,SFO16
Дряново,683,556,96,586,265,91,123,74,44.0,46,27,14,14,6,15.0,12,14,19,18,10,11,7,9,1,0,1,0,6,1,0,7670.0,7,07. ГАБРОВО,24,2749.0,0.3584093872229465,GAB12
Дулово,439,3190,5084,293,303,51,125,51,72.0,36,33,28,29,41,25.0,242,20,46,11,30,18,5,12,17,9,7,3,4,5,0,28916.0,20,20. СИЛИСТРА,45,10229.0,0.3537487895974547,SLS10
Дупница,3552,4061,213,1614,1488,490,559,346,199.0,200,102,92,76,82,18.0,29,38,32,50,42,32,21,35,15,5,2,6,4,8,0,40506.0,10,10. КЮСТЕНДИЛ,75,13411.0,0.3310867525798647,KNL48
Дългопол,343,1495,1346,461,249,124,95,56,35.0,24,24,16,22,29,38.0,17,16,17,5,16,16,11,10,5,1,10,1,0,4,0,12541.0,3,03. ВАРНА,33,4486.0,0.35770672195199743,VAR16
Елена,566,766,445,555,223,113,122,44,32.0,37,29,22,17,20,37.0,13,13,9,8,9,8,4,1,4,5,1,3,1,0,0,8054.0,4,04. ВЕЛИКО ТЪРНОВО,25,3107.0,0.385771045443258,VTR13
Елин Пелин,1816,1619,89,709,840,367,350,118,155.0,326,50,47,45,48,13.0,24,34,8,20,23,17,10,5,7,4,5,2,5,1,0,17831.0,26,26. СОФИЯ област,33,6757.0,0.37894677808311367,SFO17
Елхово,873,1159,99,709,410,125,166,87,51.0,35,33,40,20,20,27.0,19,25,4,13,21,18,15,10,1,4,2,3,5,3,0,12815.0,31,31. ЯМБОЛ,30,3997.0,0.31190011705033166,JAM07
Етрополе,1007,658,208,601,499,128,151,87,69.0,24,49,11,30,26,38.0,15,16,8,12,26,14,13,8,7,3,6,2,5,1,0,10267.0,26,26. СОФИЯ област,20,3722.0,0.3625206973799552,SFO18
Завет,125,380,2275,76,93,417,35,22,39.0,10,12,4,5,18,2.0,9,8,13,1,6,8,3,4,2,0,2,1,0,0,0,11231.0,18,18. РАЗГРАД,19,3570.0,0.31787018074971063,RAZ11
Земен,164,371,52,169,94,39,32,20,17.0,17,6,3,3,7,23.0,3,4,7,1,3,4,3,1,2,0,2,1,0,0,0,1727.0,14,14. ПЕРНИК,15,1048.0,0.6068326577880718,PER19
Златарица,138,174,425,235,83,23,18,85,7.0,84,15,7,10,16,20.0,9,10,6,5,3,9,1,0,2,2,5,2,1,1,0,3543.0,4,04. ВЕЛИКО ТЪРНОВО,13,1396.0,0.3940163703076489,VTR14
Златица,423,507,17,226,194,62,97,106,38.0,11,13,13,14,21,7.0,12,10,9,4,9,1,6,1,5,0,1,0,2,0,0,4724.0,26,26. СОФИЯ област,11,1809.0,0.38293818797629126,SFO47
Златоград,733,1105,256,793,360,299,103,33,39.0,8,28,12,23,11,10.0,14,31,8,3,19,15,4,4,4,2,4,7,3,0,0,10570.0,22,22. СМОЛЯН,22,3931.0,0.3719016083254494,SML11
Ивайловград,475,880,339,397,200,65,74,116,34.0,25,12,8,9,12,15.0,8,10,12,6,6,9,4,6,2,7,3,1,0,3,0,6319.0,29,29. ХАСКОВО,24,2738.0,0.4332964076594398,HKV11
Иваново,586,910,224,454,293,57,105,38,29.0,48,44,20,20,18,16.0,19,13,18,7,8,21,4,7,3,2,3,2,3,0,0,7564.0,19,19. РУСЕ,18,2972.0,0.39291380222104705,RSE13
Искър,179,258,163,370,223,32,46,33,17.0,43,22,16,14,3,0.0,20,8,4,5,7,9,2,3,2,2,4,2,2,2,0,5817.0,15,15. ПЛЕВЕН,11,1491.0,0.2563176895306859,PVN23
Исперих,503,1998,4189,316,304,499,123,61,130.0,28,38,13,28,41,24.0,31,25,40,6,26,21,6,4,17,2,5,4,4,4,0,26282.0,18,18. РАЗГРАД,45,8490.0,0.3230347766532227,RAZ14
Ихтиман,902,1603,196,397,565,142,203,155,81.0,44,49,35,34,29,27.0,24,30,40,17,21,19,18,11,15,3,2,5,1,4,0,14220.0,26,26. СОФИЯ област,30,4672.0,0.32855133614627285,SFO20
Каварна,1073,703,80,497,443,161,205,111,44.0,45,37,32,28,23,16.0,15,23,18,13,14,11,12,5,5,1,34,0,3,2,0,12650.0,8,08. ДОБРИЧ,31,3654.0,0.28885375494071147,DOB17
Казанлък,6231,5443,2391,2591,2729,877,1503,428,311.0,217,162,131,132,105,22.0,82,63,57,62,70,40,37,19,16,14,5,10,7,9,0,65128.0,27,27. СТАРА ЗАГОРА,92,23764.0,0.364881464193588,SZR12
