person,personLabel,personDescription,dateOfBirth,placeOfBirth,placeOfBirthLabel,placeOfBirthLocation,dateOfDeath,placeOfDeath,placeOfDeathLabel,placeOfDeathLocation
http://www.wikidata.org/entity/Q3200983,Кирана Солунска,,1731-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1751-02-28,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777)
http://www.wikidata.org/entity/Q3197855,Q3197855,,1916-10-23,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1988-11-04,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777)
http://www.wikidata.org/entity/Q3135377,Назъм бей Селаникли,,1870-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1926-08-26,http://www.wikidata.org/entity/Q3640,Анкара,Point(32.85 39.93)
http://www.wikidata.org/entity/Q8073293,Зои Ласкари,,1944-12-12,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),2017-08-18,http://www.wikidata.org/entity/Q2105234,Q2105234,Point(24.0125 37.88444444)
http://www.wikidata.org/entity/Q7427272,Q7427272,,1928-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),2002-12-18,http://www.wikidata.org/entity/Q138518,Принстън,Point(-74.656944444 40.352222222)
http://www.wikidata.org/entity/Q7247406,Прохор Кидонис,,,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),,http://www.wikidata.org/entity/Q130321,Света гора,Point(24.326388888 40.157222222)
http://www.wikidata.org/entity/Q6089201,Q6089201,,1887-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1959-04-08,http://www.wikidata.org/entity/Q147089,Маниса,Point(27.416666666 38.633333333)
http://www.wikidata.org/entity/Q6009631,Q6009631,,1888-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1960-11-28,http://www.wikidata.org/entity/Q1972163,Q1972163,Point(28.993333 40.864444)
http://www.wikidata.org/entity/Q4813198,Q4813198,,1927-09-27,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),2010-02-12,http://www.wikidata.org/entity/Q2708222,Q2708222,Point(-118.55306 34.17333)
http://www.wikidata.org/entity/Q4291319,Димитриос Местенеас,,1800-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1826-01-01,http://www.wikidata.org/entity/Q642810,Месолонги,Point(21.428888888 38.368611111)
http://www.wikidata.org/entity/Q3726751,Q3726751,,1965-09-09,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1996-06-22,http://www.wikidata.org/entity/Q233576,Епидавър,Point(23.1602 37.6335)
http://www.wikidata.org/entity/Q12273790,Борислав Стоянов (архитект),,1911-05-16,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1991-01-01,http://www.wikidata.org/entity/Q472,София,Point(23.321726 42.697886)
http://www.wikidata.org/entity/Q11894416,Q11894416,,1918-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777),1954-02-27,http://www.wikidata.org/entity/Q1524,Атина,Point(23.728055555 37.984166666)
http://www.wikidata.org/entity/Q1929860,Q1929860,,1940-02-28,http://www.wikidata.org/entity/Q17151,Солун,Point(22.930833333 40.643611111),2012-03-21,http://www.wikidata.org/entity/Q64,Берлин,Point(13.383333333 52.516666666)
http://www.wikidata.org/entity/Q1670433,Q1670433,,1885-05-11,http://www.wikidata.org/entity/Q17151,Солун,Point(22.930833333 40.643611111),1945-01-28,http://www.wikidata.org/entity/Q1726,Мюнхен,Point(11.575 48.1375)
http://www.wikidata.org/entity/Q1573462,Q1573462,,1916-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.930833333 40.643611111),2011-02-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.935555555 40.640277777)
http://www.wikidata.org/entity/Q1508875,Q1508875,,1931-07-14,http://www.wikidata.org/entity/Q17151,Солун,Point(22.930833333 40.643611111),2019-01-08,http://www.wikidata.org/entity/Q1741,Виена,Point(16.3725 48.208333333)
http://www.wikidata.org/entity/Q1466534,Q1466534,,1908-04-11,http://www.wikidata.org/entity/Q17151,Солун,Point(22.930833333 40.643611111),1998-10-11,http://www.wikidata.org/entity/Q1726,Мюнхен,Point(11.575 48.1375)
http://www.wikidata.org/entity/Q1398969,Рафаел Салем,френски математик,1898-11-07,http://www.wikidata.org/entity/Q17151,Солун,Point(22.930833333 40.643611111),1963-06-20,http://www.wikidata.org/entity/Q90,Париж,Point(2.351388888 48.856944444)
http://www.wikidata.org/entity/Q1396133,Сабиха Сертел,,1895-01-01,http://www.wikidata.org/entity/Q17151,Солун,Point(22.930833333 40.643611111),1968-09-02,http://www.wikidata.org/entity/Q9248,Баку,Point(49.835183333 40.366655555)
