id,ГЕРБ-СДС,ПП,ДПС,ВЪЗР,БСП,ДБ,БВ,ИТН,не подкрепям никого,ИЗПРАВИ СЕ,ВМРО,ДНК,КСБ,АТАКА,РВО,ГЛАС НАРОДЕН,БСДД,ЕВРОЛЕВИЦА,КТБ,КОД,МИР,ПД,НДЕ,НФСБ,БТР,НП ИСИ,БНС,ПРАВОТО,БНО,независими,невалидни,total_valid,total,eligible_voters,n_stations
2885,52,33,3,9,4,4,1,2,4.0,0,3,1,0,0,0,0,1,3,2,0,3,1,0,1,0,1,0,0,0,0.0,0.0,128.0,128.0,700.0,1
2899,13,7,24,2,9,2,2,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,62.0,65.0,123.0,1
2909,18,3,13,4,13,2,0,2,0.0,5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,63.0,63.0,110.0,1
2912,29,8,21,2,19,2,2,5,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,93.0,98.0,232.0,1
2935,89,40,4,20,27,2,11,10,3.0,2,1,3,0,1,4,2,0,0,1,1,0,0,1,0,1,0,0,1,0,0.0,0.0,224.0,224.0,773.0,1
2957,20,11,89,10,18,2,4,10,1.0,0,3,0,0,2,0,2,0,2,1,0,0,0,2,0,0,0,1,2,0,0.0,0.0,180.0,180.0,369.0,1
2960,162,102,11,36,94,35,76,14,23.0,3,11,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,574.0,574.0,1304.0,2
2974,56,22,1,9,23,1,8,10,3.0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0.0,3.0,145.0,148.0,267.0,1
2988,7,4,3,2,8,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,27.0,29.0,71.0,1
2991,5,0,176,1,1,1,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,185.0,185.0,536.0,1
3006,4,1,127,0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,134.0,134.0,427.0,1
