municipality_name,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС,БСП,не подкрепям никого,ИТН,БВ,ЛЕВИЦАТА,невалидни,АТАКА (к.),ЗАЕДНО,НП ИСИ,КОД,НДСВ,ВЪН ОТ ЕС,ГЛАС НАРОДЕН,МИР,ЕВРОЛЕВИЦА,БСДД,БНО,БНС-НД,независими,СПБП,eligible_voters,region,region_name,n_stations,total,activity,nuts4
Лесичово,453,184,161,349,241,45.0,72,44,20,58,11,3,4,1,7,2,1,0,1,1,0,0,0.0,0,3915,13,13. ПАЗАРДЖИК,11,1658.0,0.4234993614303959,PAZ14
Летница,233,163,95,76,227,25.0,25,38,16,22,5,3,5,3,2,1,1,0,0,0,1,2,0.0,0,4071,11,11. ЛОВЕЧ,8,943.0,0.23163841807909605,LOV17
Ловеч,4526,3205,2164,868,1890,706.0,724,397,323,230,61,119,47,20,29,101,39,13,9,11,17,17,17.0,3,42096,11,11. ЛОВЕЧ,97,15536.0,0.3690611934625618,LOV18
Лозница,671,428,152,2500,120,69.0,49,22,12,80,4,3,3,2,3,2,5,1,3,0,5,0,0.0,2,10234,18,18. РАЗГРАД,25,4136.0,0.40414305256986516,RAZ17
Лом,3304,1195,953,1582,625,239.0,240,132,81,265,49,14,17,8,10,21,16,5,5,0,3,3,0.0,0,23656,12,12. МОНТАНА,53,8767.0,0.3706036523503551,MON24
Луковит,1524,639,465,444,485,150.0,210,84,68,186,9,5,10,6,5,15,5,32,4,3,4,4,2.0,1,14731,11,11. ЛОВЕЧ,27,4360.0,0.2959744755956826,LOV19
Лъки,210,175,102,64,97,31.0,20,74,6,17,0,2,1,0,0,1,1,0,3,1,0,1,0.0,0,2199,17,17. ПЛОВДИВ област,11,806.0,0.36653024101864484,PDV15
Любимец,1997,540,330,40,381,88.0,141,64,31,100,7,5,7,3,2,5,2,0,3,2,3,1,0.0,1,7730,29,29. ХАСКОВО,20,3753.0,0.4855109961190168,HKV17
Лясковец,1014,695,708,198,457,184.0,157,105,222,72,18,4,13,11,3,11,14,5,2,1,2,3,0.0,0,10776,4,04. ВЕЛИКО ТЪРНОВО,16,3899.0,0.361822568671121,VTR20
Мадан,670,620,190,3086,246,198.0,119,41,18,60,2,8,17,1,8,8,5,3,0,2,9,1,0.0,0,10181,22,22. СМОЛЯН,36,5312.0,0.5217562125527945,SML16
Маджарово,143,103,63,797,44,10.0,10,14,6,25,0,1,4,0,1,1,0,1,0,0,0,0,0.0,1,3064,29,29. ХАСКОВО,15,1224.0,0.39947780678851175,HKV18
Макреш,158,94,42,44,152,17.0,8,26,5,7,2,0,1,0,1,0,0,0,1,0,0,0,0.0,0,991,5,05. ВИДИН,8,558.0,0.5630676084762866,VID25
Малко Търново,268,181,103,28,132,35.0,28,55,51,40,4,5,7,3,1,2,1,0,4,1,2,3,0.0,2,2437,2,02. БУРГАС,14,956.0,0.39228559704554783,BGS12
Марица,2584,1593,1571,235,913,411.0,447,385,109,145,39,20,36,20,6,22,15,9,5,23,5,7,0.0,5,25296,17,17. ПЛОВДИВ област,41,8605.0,0.34017235926628714,PDV17
Медковец,477,173,100,294,187,30.0,26,11,21,57,2,3,2,1,2,7,0,0,0,0,1,2,0.0,0,2520,12,12. МОНТАНА,8,1396.0,0.553968253968254,MON26
Мездра,2241,940,825,680,879,265.0,244,264,150,112,25,9,16,6,14,14,8,3,13,4,6,8,0.0,1,16607,6,06. ВРАЦА,43,6727.0,0.4050701511410851,VRC27
Мизия,497,355,228,172,331,90.0,67,345,25,47,14,7,5,0,8,9,3,0,0,2,2,0,0.0,0,5516,6,06. ВРАЦА,15,2207.0,0.4001087744742567,VRC28
Минерални бани,257,218,168,2449,130,47.0,30,35,52,77,5,15,3,1,3,3,2,2,5,3,2,2,0.0,1,6731,29,29. ХАСКОВО,18,3510.0,0.5214678353885009,HKV19
Мирково,165,105,87,7,98,50.0,23,20,14,14,2,3,4,16,0,1,1,5,0,0,0,2,0.0,1,1757,26,26. СОФИЯ област,6,618.0,0.35173591348890154,SFO56
Момчилград,793,525,124,6092,143,105.0,64,34,22,116,2,5,10,7,2,0,3,7,7,3,1,1,0.0,1,31393,9,09. КЪРДЖАЛИ,63,8067.0,0.2569681139107444,KRZ21
Монтана,5260,3209,3225,2134,1677,784.0,794,439,475,214,70,110,47,24,34,64,32,16,18,13,10,9,0.0,0,44857,12,12. МОНТАНА,84,18658.0,0.4159439998216555,MON29
Мъглиж,546,443,296,721,195,79.0,91,34,35,83,11,11,5,4,11,5,4,8,45,1,2,2,0.0,3,9601,27,27. СТАРА ЗАГОРА,16,2635.0,0.2744505780647849,SZR22
Невестино,198,127,118,25,187,19.0,9,51,19,19,5,1,1,4,3,0,1,0,1,3,0,2,0.0,2,1626,10,10. КЮСТЕНДИЛ,20,795.0,0.488929889298893,KNL31
Неделино,475,377,165,197,258,29.0,37,61,30,37,2,0,7,0,1,4,1,0,3,1,1,1,0.0,1,5211,22,22. СМОЛЯН,22,1688.0,0.32393014776434464,SML18
Несебър,1764,2021,1548,176,581,371.0,325,387,335,101,28,22,34,12,13,27,16,24,7,7,4,5,0.0,1,20448,2,02. БУРГАС,37,7809.0,0.3818955399061033,BGS15
Никола Козлево,1432,125,64,591,125,30.0,11,18,5,99,2,0,4,1,3,2,1,3,3,1,1,0,0.0,1,6911,30,30. ШУМЕН,14,2522.0,0.36492548111705975,SHU21
Николаево,180,111,99,625,137,29.0,25,30,21,73,5,4,1,3,6,1,0,1,2,2,2,0,0.0,2,3700,27,27. СТАРА ЗАГОРА,7,1359.0,0.3672972972972973,SZR38
Никопол,486,343,262,976,522,91.0,67,42,121,81,12,2,4,6,16,2,2,5,3,4,3,2,0.0,0,7801,15,15. ПЛЕВЕН,19,3052.0,0.3912318933470068,PVN21
Нова Загора,2957,1740,1454,549,1046,295.0,359,257,248,164,73,17,41,7,16,14,14,3,4,3,14,13,0.0,4,31268,21,21. СЛИВЕН,63,9292.0,0.29717282845081233,SLV16
Нови пазар,924,637,538,1301,1061,133.0,180,104,55,134,10,9,14,5,8,6,2,3,6,9,6,1,0.0,0,16845,30,30. ШУМЕН,36,5146.0,0.30549124369249037,SHU22
Ново село,309,233,120,38,101,24.0,33,131,18,27,6,1,2,1,3,1,0,0,1,0,1,0,0.0,1,2079,5,05. ВИДИН,9,1051.0,0.5055315055315055,VID30
