id,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС,БСП,не подкрепям никого,ИТН,БВ,ЛЕВИЦАТА,АТАКА (к.),ЗАЕДНО,КОД,НП ИСИ,НДСВ,ВЪН ОТ ЕС,ГЛАС НАРОДЕН,МИР,ЕВРОЛЕВИЦА,БСДД,БНО,БНС-НД,независими,СПБП,невалидни,total_valid,total,eligible_voters,n_stations
3174,31,7,7,31,4,3.0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,10,87.0,97.0,275,1
3188,1,3,0,32,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,38.0,39.0,51,1
3191,32,20,19,73,17,4.0,1,3,0,0,0,0,1,0,1,2,0,0,0,0,0,0.0,0,4,173.0,177.0,223,1
3201,31,3,3,52,14,0.0,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,3,109.0,112.0,237,1
3215,187,18,13,85,31,2.0,5,6,6,0,0,0,0,0,1,0,0,1,1,0,0,0.0,0,13,356.0,369.0,1690,2
3229,62,47,79,4,83,7.0,15,16,11,2,0,0,1,0,1,0,0,0,0,0,0,0.0,0,6,328.0,334.0,906,3
3258,2,1,0,20,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,25.0,25.0,63,1
3263,1,3,2,15,3,0.0,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,34.0,34.0,59,1
3280,59,30,19,16,28,4.0,7,3,7,1,0,2,0,0,0,2,0,0,0,0,0,0.0,0,3,178.0,181.0,355,1
3294,168,55,31,36,32,10.0,17,5,7,2,0,1,1,3,0,0,0,1,0,1,0,0.0,0,8,370.0,378.0,979,2
3304,257,249,172,2,46,36.0,44,22,16,4,0,9,1,1,3,1,2,1,0,4,0,0.0,0,7,870.0,877.0,1794,3
3318,10,16,5,28,14,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,7,76.0,83.0,279,1
3321,8,5,3,1,10,0.0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,34.0,35.0,63,1
3366,376,607,408,71,385,126.0,147,45,94,9,11,0,15,1,6,6,0,6,3,1,0,0.0,0,27,2317.0,2344.0,6521,12
3373,12,10,3,31,10,2.0,13,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0.0,0,4,86.0,90.0,290,1
3383,9,2,6,1,2,1.0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,0,25.0,25.0,37,1
3397,21,10,9,12,13,2.0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,70.0,71.0,147,1
3407,5,5,5,1,5,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,23.0,24.0,42,1
3410,10,2,1,170,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,185.0,185.0,806,1
3438,44,20,21,31,15,5.0,6,8,4,0,0,0,2,0,2,0,0,2,0,0,2,0.0,0,2,162.0,164.0,551,1
3441,111,21,38,0,23,11.0,5,4,3,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0,3,218.0,221.0,446,1
3455,12,2,3,1,2,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,23.0,23.0,19,1
3469,60,17,19,9,10,4.0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1,123.0,124.0,173,1
3472,71,9,1,124,2,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,210.0,211.0,670,1
3486,75,56,30,7,25,10.0,12,8,6,1,1,0,1,0,2,0,0,0,0,0,0,0.0,0,2,234.0,236.0,494,2
3499,12,6,2,171,1,0.0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0,10,196.0,206.0,734,1
3504,241,82,65,684,212,26.0,11,57,15,4,0,0,3,2,1,1,3,2,1,2,0,0.0,0,74,1412.0,1486.0,2794,6
3513,4,10,8,2,5,1.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0,1,34.0,35.0,48,1
3527,85,31,26,0,18,9.0,7,7,2,2,2,0,1,0,0,0,0,1,0,0,0,0.0,0,10,191.0,201.0,435,1
3530,15,16,11,20,3,0.0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,77.0,78.0,174,1
3544,82,22,11,1,13,2.0,6,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,8,143.0,151.0,217,1
3558,8,5,9,4,10,2.0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,45.0,46.0,104,1
3561,57,3,1,111,8,6.0,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,9,238.0,247.0,453,1
3575,43,36,13,325,23,11.0,2,139,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,1,13,595.0,608.0,1684,3
3589,15,18,11,5,25,4.0,1,7,2,3,1,0,0,0,1,0,0,0,0,0,0,0.0,0,1,93.0,94.0,204,1
3592,432,236,217,19,150,46.0,50,71,16,5,3,0,6,1,7,4,2,2,0,0,1,0.0,0,22,1268.0,1290.0,3341,4
3602,56,28,23,240,19,11.0,5,4,4,1,1,0,0,0,0,1,1,1,0,0,0,0.0,0,9,395.0,404.0,1343,2
3616,269,238,165,529,167,60.0,52,59,25,2,4,2,0,2,2,0,0,0,1,1,2,0.0,0,39,1580.0,1619.0,4395,8
